season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id
2021,57,5.07,Justin Herbert,QB,LAC,7,54.6,6.5,1.01,6.09,284,00-0036355,6797
2021,58,5.11,Tyler Lockett,WR,SEA,9,58.7,4.5,4.07,6.09,413,00-0032211,2374
2021,59,5.11,Chase Edmonds,RB,ARI,12,58.7,6.2,3.12,7.05,320,00-0034681,5000
2021,60,5.12,Cooper Kupp,WR,LAR,11,59.6,4.9,4.01,7.01,500,00-0033908,4039
2021,61,5.12,Diontae Johnson,WR,PIT,7,59.9,4.5,4.07,7.01,260,00-0035216,5937
2021,62,5.12,Ronald Jones II,RB,TB,9,60.4,5.5,4.06,7.04,248,00-0034816,5052
2021,63,6.01,T.J. Hockenson,TE,DET,9,61,6.3,3.06,7.06,262,00-0035229,5844
2021,64,6.01,Aaron Rodgers,QB,GB,13,61.1,5.8,3.01,7.07,187,00-0023459,96
2021,65,6.03,Odell Beckham Jr,WR,CLE,13,62.8,5,5.01,7.1,306,00-0031235,2078
2021,66,6.05,Mike Davis,RB,ATL,6,64.8,8.4,3.06,8.04,971,00-0031160,
